DESCRIZIONE,ANNO1,ANNO2,PESOINIZIALE,PESOFINALE,CINTURADA,CINTURAA,SESSO,NOTE
Esordienti dal 13mo al 14mo anno,2010,2009,0,50,Verde,Blu,M,Verde/Blu
Esordienti dal 13mo al 14mo anno,2010,2009,50,99,Verde,Blu,M,
Esordienti dal 13mo al 14mo anno,2010,2009,0,45,Verde,Blu,F,
Esordienti dal 13mo al 14mo anno,2010,2009,45,99,Verde,Blu,F,
Esordienti dal 13mo al 14mo anno,2010,2009,0,50,Marrone,Nera,M,
Esordienti dal 13mo al 14mo anno,2010,2009,50,99,Marrone,Nera,M,
Esordienti dal 13mo al 14mo anno,2010,2009,0,45,Marrone,Nera,F,
Esordienti dal 13mo al 14mo anno,2010,2009,45,99,Marrone,Nera,F,
Cadetti dal 15mo al 16mo anno,2008,2007,50,65,Verde,Blu,M,
Cadetti dal 15mo al 16mo anno,2008,2007,65,99,Verde,Blu,M,
Cadetti dal 15mo al 16mo anno,2008,2007,40,99,Verde,Blu,F,
Speranze dal 17mo al 19mo anno,2006,2004,55,65,Verde,Blu,M,
Speranze dal 17mo al 19mo anno,2006,2004,65,99,Verde,Blu,M,
Speranze dal 17mo al 19mo anno,2006,2004,45,99,Verde,Blu,F,
Juniores dal 20mo al 23mo anno,2003,2000,55,70,Verde,Blu,M,
Juniores dal 20mo al 23mo anno,2003,2000,70,99,Verde,Blu,M,
Juniores dal 20mo al 23mo anno,2003,2000,45,99,Verde,Blu,F,
Seniores dal 24mo al 35mo anno,1999,1988,55,70,Verde,Blu,M,
Seniores dal 24mo al 35mo anno,1999,1988,70,99,Verde,Blu,M,
Seniores dal 24mo al 35mo anno,1999,1988,45,99,Verde,Blu,F,
Cadetti dal 15mo al 16mo anno,2008,2007,50,65,Marrone,Marrone,M,
Cadetti dal 15mo al 16mo anno,2008,2007,65,99,Marrone,Marrone,M,
Cadetti dal 15mo al 16mo anno,2008,2007,40,99,Marrone,Marrone,F,
Speranze dal 17mo al 19mo anno,2006,2004,55,65,Marrone,Marrone,M,
Speranze dal 17mo al 19mo anno,2006,2004,65,99,Marrone,Marrone,M,
Speranze dal 17mo al 19mo anno,2006,2004,45,99,Marrone,Marrone,F,
Juniores dal 20mo al 23mo anno,2003,2000,55,65,Marrone,Marrone,M,
Juniores dal 20mo al 23mo anno,2003,2000,65,75,Marrone,Marrone,M,
Juniores dal 20mo al 23mo anno,2003,2000,75,99,Marrone,Marrone,M,
Juniores dal 20mo al 23mo anno,2003,2000,45,55,Marrone,Marrone,F,
Juniores dal 20mo al 23mo anno,2003,2000,55,99,Marrone,Marrone,F,
Seniores dal 24mo al 35mo anno,1999,1988,55,65,Marrone,Marrone,M,
Seniores dal 24mo al 35mo anno,1999,1988,65,75,Marrone,Marrone,M,
Seniores dal 24mo al 35mo anno,1999,1988,75,99,Marrone,Marrone,M,
Seniores dal 24mo al 35mo anno,1999,1988,45,55,Marrone,Marrone,F,
Seniores dal 24mo al 35mo anno,1999,1988,55,99,Marrone,Marrone,F,
Cadetti dal 15mo al 16mo anno,2008,2007,50,65,Nera,Nera,M,
Cadetti dal 15mo al 16mo anno,2008,2007,65,99,Nera,Nera,M,
Cadetti dal 15mo al 16mo anno,2008,2007,40,99,Nera,Nera,F,
Speranze dal 17mo al 19mo anno,2006,2004,55,65,Nera,Nera,M,
Speranze dal 17mo al 19mo anno,2006,2004,65,99,Nera,Nera,M,
Speranze dal 17mo al 19mo anno,2006,2004,45,99,Nera,Nera,F,
Juniores dal 20mo al 23mo anno,2003,2000,55,65,Nera,Nera,M,
Juniores dal 20mo al 23mo anno,2003,2000,65,75,Nera,Nera,M,
Juniores dal 20mo al 23mo anno,2003,2000,75,99,Nera,Nera,M,
Seniores dal 24mo al 35mo anno,1999,1988,55,65,Nera,Nera,M,
Seniores dal 24mo al 35mo anno,1999,1988,65,75,Nera,Nera,M,
Seniores dal 24mo al 35mo anno,1999,1988,75,99,Nera,Nera,M,
Juniores & Seniores dal 20mo al 35mo anno,2003,1988,45,55,Nera,Nera,F,
Juniores & Seniores dal 20mo al 35mo anno,2003,1988,55,99,Nera,Nera,F,